epoch,train_loss,val_loss,train_mAP,val_mAP,AP_ice_ring,AP_diffuse_scattering,AP_background_ring,AP_non_uniform_detector,AP_loop_scattering,AP_strong_background,AP_artifact
1,0.8588728262391975,0.7528705408947215,0.5768934488296509,0.698423445224762,0.8481207489967346,0.34975892305374146,0.8588671684265137,0.616978645324707,0.7068984508514404,0.9379205107688904,0.570419430732727
2,0.754977115455029,0.6834446034983107,0.6589329242706299,0.7220538258552551,0.864759624004364,0.4093303680419922,0.8741426467895508,0.6391572952270508,0.7168233394622803,0.9492909908294678,0.6008720397949219
3,0.7069028317456011,0.6499362766459325,0.6780434250831604,0.7337743639945984,0.8751472234725952,0.4165242910385132,0.8909920454025269,0.6562511324882507,0.7275577783584595,0.9566842317581177,0.6132631897926331
4,0.680309126522575,0.629052236038607,0.6890472173690796,0.7403873801231384,0.8754395246505737,0.45101457834243774,0.8960132002830505,0.6525228023529053,0.7308575510978699,0.9582234621047974,0.618640661239624
5,0.6565435240650328,0.6174322458341269,0.7036339044570923,0.7509372234344482,0.877571165561676,0.4682517647743225,0.8996460437774658,0.6790199279785156,0.7433503270149231,0.9625873565673828,0.6261337995529175
6,0.6411424908320613,0.6003735970392847,0.7123078107833862,0.7548140287399292,0.8785832524299622,0.47671252489089966,0.9024587273597717,0.6806745529174805,0.7505325078964233,0.9636739492416382,0.6310624480247498
7,0.6301157547252492,0.5955024020607611,0.714006245136261,0.7570169568061829,0.8808863162994385,0.48309826850891113,0.9077727198600769,0.6832672953605652,0.7496621608734131,0.962162971496582,0.6322687864303589
8,0.6216389910921619,0.5761995623021042,0.7161796689033508,0.7627406716346741,0.8845503330230713,0.49622634053230286,0.9113305807113647,0.6918896436691284,0.7563906908035278,0.9661389589309692,0.6326578855514526
9,0.607999684976889,0.571395563200801,0.7290337681770325,0.7675737142562866,0.8877105116844177,0.5196291208267212,0.911237895488739,0.6927715539932251,0.7587664127349854,0.9654169082641602,0.6374831795692444
10,0.6030801041568327,0.5640316212139492,0.7287622094154358,0.768944501876831,0.8839114904403687,0.5251369476318359,0.9164237976074219,0.6967957019805908,0.7635893225669861,0.9654584527015686,0.6312956809997559
11,0.5982818419789739,0.5563121399297578,0.7336184978485107,0.76958167552948,0.8793914318084717,0.5217946767807007,0.9187638759613037,0.6979084014892578,0.7665899991989136,0.9676985740661621,0.6349248886108398
12,0.5957863651062532,0.5570261484091709,0.728839635848999,0.767633318901062,0.8904622793197632,0.4913559854030609,0.9204584956169128,0.7010608911514282,0.764447033405304,0.9673506021499634,0.6382979154586792
13,0.5917350277186574,0.5558634178385303,0.7387303709983826,0.768208384513855,0.8807336688041687,0.4968934953212738,0.9196533560752869,0.7026340365409851,0.7678878307342529,0.9687039256095886,0.640951931476593
14,0.584774314223681,0.570478876683678,0.7393049597740173,0.7720420360565186,0.8808637857437134,0.5240374803543091,0.9226471781730652,0.7085696458816528,0.7679429650306702,0.9673718810081482,0.6328613758087158
15,0.5817892914150861,0.5466221692822815,0.7347368597984314,0.7727678418159485,0.8867814540863037,0.5144310593605042,0.9228167533874512,0.7078952789306641,0.770362377166748,0.9691293835639954,0.6379585266113281
16,0.5812933142702855,0.5456807028189326,0.7420252561569214,0.7744759321212769,0.8880957365036011,0.5138307213783264,0.9239991903305054,0.7152284979820251,0.7715577483177185,0.9682985544204712,0.6403205990791321
17,0.5705763586160687,0.5385459512236002,0.7446655631065369,0.7731867432594299,0.8883398771286011,0.5154289603233337,0.9238640666007996,0.7046489715576172,0.7701269388198853,0.9677969217300415,0.6421014070510864
18,0.5703610010362465,0.5377823141788718,0.7444446682929993,0.7787133455276489,0.8900952935218811,0.5225611329078674,0.9243221282958984,0.7186052799224854,0.7797069549560547,0.9694905281066895,0.6462118029594421
19,0.5723482513012108,0.5454749982160547,0.7443419098854065,0.7764033079147339,0.8857958912849426,0.5212459564208984,0.9246046543121338,0.7150388956069946,0.774170458316803,0.9678618311882019,0.6461054682731628
20,0.5686961849782433,0.5443727588030124,0.7496861219406128,0.7812557816505432,0.8868958353996277,0.5560382008552551,0.9287278652191162,0.7154455184936523,0.771869957447052,0.9671082496643066,0.6427042484283447
21,0.5681909856441093,0.5359879591385649,0.7497786283493042,0.7823904752731323,0.8868726491928101,0.5448904037475586,0.9288222789764404,0.7212753891944885,0.7757742404937744,0.9695464372634888,0.6495521068572998
22,0.5625410389786855,0.5331521498986923,0.7518154382705688,0.7805909514427185,0.8903244733810425,0.5424894094467163,0.9288524389266968,0.7166999578475952,0.7823875546455383,0.96695876121521,0.6364237070083618
23,0.5538433829880365,0.5280019998928257,0.7568352818489075,0.7797226309776306,0.8903357982635498,0.5285980105400085,0.9323054552078247,0.7123637795448303,0.782717227935791,0.968970537185669,0.6427676677703857
24,0.5523246098811577,0.5230497156761339,0.7564488649368286,0.7818853855133057,0.8829931020736694,0.5306638479232788,0.9301619529724121,0.7225240468978882,0.7829916477203369,0.9703470468521118,0.6535159349441528
25,0.5553464363380771,0.534244248209589,0.7545719742774963,0.7790013551712036,0.8790361881256104,0.5206667184829712,0.9300768971443176,0.7260579466819763,0.7852069139480591,0.9685508608818054,0.6434138417243958
26,0.5518044120914017,0.5251469023631983,0.7561386823654175,0.7828594446182251,0.8890504837036133,0.5390735268592834,0.9316931962966919,0.7180023789405823,0.7854467630386353,0.9697583317756653,0.6469910144805908
27,0.5481530926212456,0.5319218021565119,0.7592117190361023,0.7813817262649536,0.8997236490249634,0.5172593593597412,0.9324138164520264,0.7161090970039368,0.7845728397369385,0.9691587686538696,0.650434136390686
28,0.5498098774492836,0.5175375803336856,0.7586255669593811,0.7837242484092712,0.8878834247589111,0.5413082838058472,0.934220552444458,0.7235863208770752,0.7871153950691223,0.9700360894203186,0.6419194936752319
29,0.5464457270649458,0.5166873778858577,0.7601264715194702,0.7819736003875732,0.8823399543762207,0.5354326963424683,0.9339265823364258,0.7197363376617432,0.789637565612793,0.970163106918335,0.6425788998603821
30,0.5401421181751318,0.5119676563989153,0.7598484754562378,0.7874753475189209,0.8862139582633972,0.5503832101821899,0.9348105192184448,0.72459876537323,0.790789783000946,0.9702697396278381,0.6552610397338867
